year_added,primary_artist,songs,plays
2024,Giulio Cercato,1,130
2024,Coldplay,2,121
2024,Never Dull,1,117
2024,Van She,2,117
2024,The Avalanches,1,115
2024,Gotye,2,111
2024,The Chemical Brothers,2,109
2024,Peggy Gou,1,108
2024,The Monkees,1,106
2024,Thomas Bangalter & Dj Falcon,1,105
2024,Serge Gainsbourg,1,97
2024,ROSÉ & Bruno Mars,1,93
2024,Claude Nougaro,1,92
2024,Mylene Farmer,1,91
2024,Le Club,1,90
2024,Grand popo football club,1,88
2024,James Blunt,1,87
2024,Paul Kalkbrenner,1,87
2024,The King Khan & BBQ Show,1,86
2024,Armand Van Helden,1,85
2024,Paul Simon,1,85
2024,Zoot Woman & Le Knight Club,1,82
2024,Niagara,1,81
2024,France Gall,2,79
2024,Gavinco,1,77
2024,Bennett & Bruno Coulais,1,76
2024,Alphaville,1,74
2024,Charlotte Cardin,1,73
2024,Beastie Boys,1,72
2024,Peter Bjorn,1,70
2024,David Guetta,1,69
2024,Fatboy Slim,1,68
2024,Max Berlin,1,66
2024,Coke Royalty,1,65
2024,Gibson Brothers,1,65
2024,Oxmo Puccino,1,65
2024,Sam Gellaitry,1,64
2024,The Whitest Boy Alive & Fred Falke,1,64
2024,Kylie Minogue,1,63
2024,Roy Ayers Ubiquity,1,63
2024,Début de Soiree,1,62
2024,Voyage (band),1,62
2024,HNNY,1,61
2024,Sable,1,61
2024,DJ Mehdi,1,56
2024,Damn Arms,1,56
2024,Imagination,1,56
2024,Crazy Girl & Memphis,1,55
2024,Dua Lipa,1,54
2024,Quantic,1,54
2024,Almost Monday,1,53
2024,Etienne de Crecy,1,53
2024,Toecutter & Flight Facilities,1,53
2024,Kool & the Gang,1,52
2024,Mos Def,1,52
2024,Aretha Franklin,1,51
2024,Madison Avenue,1,51
2024,Peter Schilling,1,50
2024,Jamiroquai,2,49
2024,Phoenix,1,49
2024,Ivan (Singer),1,47
2024,Supreme NTM,1,47
2024,Ace of Base,1,46
2024,Chappell Roan,2,46
2024,Oliver Heldens,1,46
2024,Stevie Wonder,1,46
2024,Belle Epoque,1,45
2024,Bleu Toucan,1,45
2024,Walter Murphy & Flight Facilities,1,45
2024,ADAMSKI,1,44
2024,Paris By Air,1,44
2024,Lady Gaga,1,43
2024,Sylvester,1,43
2024,Al Corley,1,41
2024,BadBadNotGood,1,41
2024,The Rapture,1,41
2024,Michael Gray,1,40
2024,Stephen Sanchez & Em Beihold,1,40
2024,Aphex Twin,1,39
2024,George McCrae,1,39
2024,Isabelle,1,39
2024,Justice,1,39
2024,Ariana Grande,1,38
2024,Chris Isaak,1,38
2024,Electric Light Orchestra,1,38
2024,One T  Cool T,1,38
2024,Souls of Mischief,1,38
2024,Anyma & Chris Avantgarde & Massano,1,37
2024,Barry Blue,1,37
2024,Muriel Dacq,1,37
2024,Feder,1,36
2024,Bibi Flash,1,34
2024,Chance The Rapper,1,34
2024,Cut Copy,1,34
2024,ABBA,1,33
2024,Kangoo (Serie TV),1,33
2024,Huey Lewis & The News,1,32
2024,Laura Branigan,1,32
2024,Mylo,1,32
2024,Sam Smith,1,32
2024,The Ronettes,1,32
2024,Fede Klotz,1,31
2024,Jacques Cardona,1,31
2024,Kim Petras,1,31
2024,SBTRKT,1,31
2024,Bobby Caldwell,1,30
2024,Midnight Juggernauts,1,30
2024,Raphael,1,30
2024,Anri,1,29
2024,Takuya Kuroda,1,29
2024,Ultra Naté,1,29
2024,Shaboozey,1,28
2024,Sonya Spence,1,28
2024,Foster the people,1,27
2024,Gigi D'Agostino,1,27
2024,Isley Brothers,1,26
