artist_raw,primary_artist,songs,plays
BeatauCue,BeatauCue,1,34
Beau-J & Furia,Beau-J & Furia,1,23
Bebe Rexha,Bebe Rexha,1,134
Beck,Beck,1,38
Bee Gees,Bee Gees,5,498
Beethoven,Beethoven,5,46
Bella Poarch,Bella Poarch,1,64
Belle Epoque,Belle Epoque,1,45
Benjamin Belllman,Benjamin Belllman,5,223
Benjamin Bellman,Benjamin Bellman,33,503
Benjamin Biolay,Benjamin Biolay,2,196
Benjamin Diamond,Benjamin Diamond,1,76
Bennett & Bruno Coulais,Bennett & Bruno Coulais,1,76
Benny Benassi,Benny Benassi,6,175
Benny Benassi & The Biz,Benny Benassi,3,61
Benson Boone,Benson Boone,1,12
Berlioz,Berlioz,1,16
Beverlay,Beverlay,1,26
Beyonce,Beyonce,2,12
Beyoncé & Shakira,Beyoncé,1,39
Beyoncé,Beyoncé,1,11
Bibi Flash,Bibi Flash,1,34
"Big Ali, Bob Sinclar & Dollar Man","Big Ali, Bob Sinclar & Dollar Man",1,42
Big Baby D.R.A.M,Big Baby D.R.A.M,1,42
Bigflo & Oli & Julien Dorée,Bigflo & Oli & Julien Dorée,1,124
Biggie and Viceroy Jet Life,Biggie,1,65
Biggie vs MGMT,Biggie,1,61
Bill Haley,Bill Haley,1,21
Bill Withers,Bill Withers,2,43
Billie Eilish,Billie Eilish,2,105
Billy Idol,Billy Idol,1,46
Billy Joel,Billy Joel,7,455
Billy Walker,Billy Walker,1,71
Bingo Players,Bingo Players,2,42
Birdy Nam Nam,Birdy Nam Nam,2,119
Black (Artist),Black (Artist),1,47
Black Eyed Peas,Black Eyed Peas,6,157
Black Eyed Peas & Justin Timberlake,Black Eyed Peas,1,15
Blackguyrandy,Blackguyrandy,1,114
Blackpink,Blackpink,1,21
Bleu Toucan,Bleu Toucan,1,45
Blink-182,Blink-182,1,78
Blondie,Blondie,7,518
Bloodhound Gang,Bloodhound Gang,1,40
Bloody Beetroots,Bloody Beetroots,1,50
Blue Oyster Cult,Blue Oyster Cult,4,386
Blue Rain Boots,Blue Rain Boots,1,35
Blue Swede,Blue Swede,1,55
Blues Brothers,Blues Brothers,1,47
Blues Trottoir,Blues Trottoir,1,131
Blur,Blur,3,173
Bob Dylan,Bob Dylan,3,75
Bob Marley,Bob Marley,6,99
Bob Sinclar,Bob Sinclar,1,29
Bob Sinclar & Gary Pine,Bob Sinclar,1,22
Bob Sinclar & The Sugar Hill Gang,Bob Sinclar,1,15
Bob sinclar & Rafaella Carra,Bob sinclar & Rafaella Carra,1,24
Bobby Bare,Bobby Bare,1,70
Bobby Bloom,Bobby Bloom,1,65
Bobby Caldwell,Bobby Caldwell,1,30
Bon Entendeur,Bon Entendeur,13,1464
Bon Entendeur & Pierre Niney,Bon Entendeur,1,262
Bon Entendeur & Moulidgi,Bon Entendeur,1,251
Bon Entendeur & Nino Ferrer,Bon Entendeur,1,238
Bon Entendeur vs Tina Charles,Bon Entendeur,1,234
Bon Entendeur & Xinobi,Bon Entendeur,1,144
Bon Entendeur & Syreeta,Bon Entendeur,1,128
Bon Entendeur & France Gal,Bon Entendeur,1,122
Bon Entendeur & Crazy P,Bon Entendeur,1,121
Bon Entendeur & Darondo,Bon Entendeur,1,118
Bon Entendeur & Marie Laforêt,Bon Entendeur,1,106
Bon Entendeur & Frederic Beigbeder,Bon Entendeur,1,81
Bon Entendeur & Jane Birkin,Bon Entendeur,1,73
Bon Entendeur & Emma Peters,Bon Entendeur,1,32
Bon Entendeur & Jeanne Mas,Bon Entendeur,1,13
Bon Jovi,Bon Jovi,1,25
Boney M.,Boney M.,5,326
Bonga & Synapson,Bonga & Synapson,1,38
Bonnie Tyler,Bonnie Tyler,2,67
Bonobo,Bonobo,1,17
Booba,Booba,4,146
Boom Box,Boom Box,1,17
Booty Full,Booty Full,1,5
Borgore,Borgore,4,80
Boris Vian,Boris Vian,2,42
Boston,Boston,1,65
Boy George And Culture Club,Boy George,1,9
Boy Meets Girl,Boy Meets Girl,1,64
Boy Pablo,Boy Pablo,3,234
Boys Town Gang,Boys Town Gang,1,15
BradBroooks,BradBroooks,1,73
Branbal & Home,Branbal & Home,1,30
Bread & Butter,Bread & Butter,1,18
Breakbot,Breakbot,4,101
Breaking Benjamin,Breaking Benjamin,9,142
Brice De Nice,Brice De Nice,1,54
Brigitte Bardot,Brigitte Bardot,3,152
Brillion,Brillion,1,93
Britney Spears,Britney Spears,11,265
Britney Spears & Junkie XL,Britney Spears,1,65
Britney Spears & Will.i.am,Britney Spears,1,44
Brockbeats,Brockbeats,1,26
Brodinsky,Brodinsky,1,14
Bronski Beat,Bronski Beat,1,27
Bruno Mars,Bruno Mars,3,66
Bryan Adams,Bryan Adams,1,24
Bryce Vine,Bryce Vine,1,146
Buddy Holly,Buddy Holly,1,13
Buggles,Buggles,1,36
Bullet for My Valentine,Bullet for My Valentine,3,27
Busta Rhymes,Busta Rhymes,1,28
Busted,Busted,2,57
BØRNS,BØRNS,1,31
BØRNS & Sapientdreams,BØRNS,1,31
Bénabar,Bénabar,5,212
C+C Music Factory,C+C Music Factory,1,8
C2C,C2C,2,44
C2C & Vitalic,C2C,1,30
CASCADA,CASCADA,4,177
CBMN,CBMN,1,17
COEO,COEO,1,150
CTID,CTID,1,15
Caesars,Caesars,1,12
Cali,Cali,2,66
