artist_raw,primary_artist,songs,plays
Flight Facilities,Flight Facilities,6,201
Flight Facilities & Jess,Flight Facilities,1,37
Flo Rida,Flo Rida,3,50
Floating Points,Floating Points,1,75
Florence & The Machine,Florence & The Machine,1,60
Florent Pagny,Florent Pagny,3,124
Flovry & Tender Spring,Flovry & Tender Spring,2,218
Flume,Flume,3,127
Flume x WKND,Flume,1,25
Fool's Garden,Fool's Garden,1,80
Force Unknown,Force Unknown,1,11
Foreigner,Foreigner,1,11
Forhill,Forhill,1,16
Foster the people,Foster the people,2,45
Francci,Francci,1,22
France Football Anthem,France Football Anthem,1,36
France Gall,France Gall,7,359
Francis Cabrel,Francis Cabrel,5,161
Francis Cabrel & Asaf Avidan,Francis Cabrel,1,93
Francoise Hardy,Francoise Hardy,5,338
Frank Sinatra,Frank Sinatra,8,151
Frankie Valli & The Four Seasons,Frankie Valli & The Four Seasons,4,316
Franz Ferdinand & Daft Punk,Franz Ferdinand & Daft Punk,1,26
Fred Falke & Shotgun Tom Kelly,Fred Falke & Shotgun Tom Kelly,1,41
Fred again.. feat. The Blessed Madonna,Fred again..,1,23
Freestylers,Freestylers,1,10
Freeze Corleone 667,Freeze Corleone 667,1,63
French 79,French 79,1,299
French Ball,French Ball,1,19
Friendly Fires,Friendly Fires,1,13
Fritz Kalkbrenner,Fritz Kalkbrenner,1,44
Frivolous,Frivolous,1,19
Fugees,Fugees,1,20
Full House,Full House,1,119
Fun (Band),Fun (Band),1,21
Future Girlfriend,Future Girlfriend,1,83
G-Eazy and Janis Joplin,G-Eazy,1,26
"GEE LEE, Riton and Kah-Lo","GEE LEE, Riton",1,30
Gabrielle & Daft Punk,Gabrielle,1,107
Gabrielle,Gabrielle,1,44
Gael Faye,Gael Faye,1,74
Gala,Gala,1,38
Galantis,Galantis,1,99
Garden City Movement  Lola Marsh,Garden City Movement  Lola Marsh,1,24
Gary Glitter,Gary Glitter,1,39
Gary Jules,Gary Jules,1,14
Gaullin,Gaullin,1,55
Gavin Rossdale,Gavin Rossdale,1,21
Gavinco,Gavinco,1,77
Gemini Drive,Gemini Drive,1,16
George Benson,George Benson,1,21
George Brassens,George Brassens,7,359
George Clinton Jr,George Clinton Jr,1,14
George Ezra,George Ezra,1,13
George Harrison,George Harrison,1,13
George McCrae,George McCrae,1,39
George Michael,George Michael,1,82
George Moir,George Moir,1,190
Georgie Fame & the Blue Flames,Georgie Fame & the Blue Flames,1,57
Gesaffelstein,Gesaffelstein,8,135
Gesaffelstein & The Weeknd,Gesaffelstein,1,104
Ghost,Ghost,1,15
Ghost Beach,Ghost Beach,1,32
Ghostbusters,Ghostbusters,1,11
Gibson Brothers,Gibson Brothers,1,65
Gigamesh,Gigamesh,6,589
Gigamesh and Michael Jackson,Gigamesh,1,159
Gigamesh & Alan Braxe,Gigamesh,1,39
Gigi D'Agostino,Gigi D'Agostino,1,27
Gil Scott Heron & Moullinex & Bon Entendeur,Gil Scott Heron & Moullinex & Bon Entendeur,1,96
Gilbert Bécaud,Gilbert Bécaud,2,248
Gilbert Montagne,Gilbert Montagne,1,82
Gilbert O'Sullivan,Gilbert O'Sullivan,1,206
Gin Blossoms,Gin Blossoms,1,47
Ginger Root,Ginger Root,3,145
Giorgio Moroder and Daft Punk,Giorgio Moroder,1,63
Gipsy Kings,Gipsy Kings,5,273
Giulio Cercato,Giulio Cercato,1,130
Glass Animals,Glass Animals,1,75
Global Communication,Global Communication,1,18
Global Deejays,Global Deejays,3,168
Gloria Gaynor,Gloria Gaynor,1,16
Gnarls Barkley,Gnarls Barkley,3,109
Goldfish,Goldfish,1,83
Goo Goo Dolls,Goo Goo Dolls,1,26
Good Charlotte,Good Charlotte,1,20
Goomar & GrandHuit,Goomar & GrandHuit,1,51
Gorgon City,Gorgon City,1,21
Gorillaz,Gorillaz,5,128
Gorillaz & Fatoumata Diawara,Gorillaz,1,40
Got Jax,Got Jax,1,160
Gotan Project,Gotan Project,2,116
Gotye,Gotye,2,111
Gracie Abrams,Gracie Abrams,1,31
Gradur ft. Heuss l'enfoirée,Gradur,1,124
Gramatik,Gramatik,3,66
Grand Funk Railroad,Grand Funk Railroad,1,8
Grand popo football club,Grand popo football club,1,88
Grant Smilie and Walden,Grant Smilie,1,18
Green Day,Green Day,7,277
Grouplove,Grouplove,1,124
Grover Washington Jr,Grover Washington Jr,1,69
Gryffin,Gryffin,1,179
Grégoire,Grégoire,2,45
Gucci Mane,Gucci Mane,1,25
Guizmo,Guizmo,1,17
Gummibär,Gummibär,1,6
Guns N' Roses,Guns N' Roses,2,34
Gunther & Samantha Fox,Gunther & Samantha Fox,1,156
Guru Josh Project,Guru Josh Project,1,28
Guts,Guts,5,458
Gwen Stefani,Gwen Stefani,5,130
Gym Class Heroes,Gym Class Heroes,1,19
Gym Class Heroes featuring Patrick Stump,Gym Class Heroes featuring Patrick Stump,2,29
Gérald de Palmas,Gérald de Palmas,1,46
Günther,Günther,1,24
HBK GANG,HBK GANG,1,40
HNNY,HNNY,1,61
Haddaway,Haddaway,1,15
Hadyn,Hadyn,3,37
Hagalaz Runedance,Hagalaz Runedance,1,13
Hall & Oates,Hall & Oates,5,282
Hampton The Hamster,Hampton The Hamster,1,28
Hanson,Hanson,1,129
HardNox,HardNox,1,5
Hardwell,Hardwell,3,107
Hardwell & W&W,Hardwell,1,2
Harold Faltermeyer,Harold Faltermeyer,1,34
Harry Belafonte,Harry Belafonte,2,262
Harry Chapin,Harry Chapin,1,40
Harry Nillson,Harry Nillson,2,188
Harry Nilsson,Harry Nilsson,1,131
Harry Styles,Harry Styles,4,99
He-Man,He-Man,1,29
Heart,Heart,1,25
Heizzah,Heizzah,1,99
Hellogoodbye,Hellogoodbye,1,86
Helmut Fritz,Helmut Fritz,2,30
Henri Dès,Henri Dès,2,52
Hensonn,Hensonn,1,15
Her's,Her's,1,37
Hilary Duff,Hilary Duff,1,13
Hits Variété Pop,Hits Variété Pop,1,25
Hocus Pocus ft. Magil Malik,Hocus Pocus,1,43
Hojean,Hojean,1,54
Hoku,Hoku,1,23
Home,Home,1,119
Homi & Jarvis,Homi & Jarvis,1,50
Honne & Tom Misch,Honne & Tom Misch,1,61
Hoobastank,Hoobastank,1,37
Hoogway,Hoogway,1,95
Hootie & The Blowfish,Hootie & The Blowfish,1,24
Horalion & Kraftwek,Horalion,1,297
Horalion,Horalion,1,105
Hot Chelle Rae,Hot Chelle Rae,1,21
Hot Chocolate,Hot Chocolate,2,299
Hotel Pools,Hotel Pools,1,13
Hotel Pools feat. Memorex Memories,Hotel Pools,1,11
Housecall,Housecall,1,26
Hovey Benjamin,Hovey Benjamin,1,60
Howard Jones,Howard Jones,1,15
Howie Day,Howie Day,1,35
Hozier,Hozier,1,18
Huey Lewis & The News,Huey Lewis & The News,3,101
Hugh Atkin,Hugh Atkin,1,99
Hugues Aufray,Hugues Aufray,1,18
Human League,Human League,1,12
Hunter,Hunter,1,126
Huntrix,Huntrix,1,20
I Monster,I Monster,1,21
I'm Surf,I'm Surf,1,105
"I, Monster","I, Monster",1,26
I-Cube,I-Cube,1,32
IAn Pooley & Daft Punk,IAn Pooley & Daft Punk,1,73
INXS,INXS,1,16
Iam Groupe,Iam Groupe,2,290
Ice Cube,Ice Cube,2,41
Icona Pop,Icona Pop,1,27
IdChief,IdChief,1,84
Iden Kai,Iden Kai,1,37
Iggy Pop,Iggy Pop,1,49
Image (Band),Image (Band),1,211
Images,Images,1,61
Imagination,Imagination,2,93
Imagine Dragons,Imagine Dragons,5,255
Imanbek & BYOR,Imanbek & BYOR,1,133
Imany,Imany,1,140
Immortal Technique,Immortal Technique,2,44
Indeep,Indeep,1,47
Indila,Indila,1,76
Indochine,Indochine,3,91
Infant Sorrow,Infant Sorrow,3,86
Infected Mushroom,Infected Mushroom,1,11
Inna,Inna,1,13
Inna Modja,Inna Modja,1,29
Internet Affairs,Internet Affairs,1,72
Interview,Interview,1,16
Iro(Artist),Iro(Artist),1,93
Iron Maiden,Iron Maiden,1,23
Isabelle,Isabelle,1,39
Isabelle Pierre & Bon Entendeur,Isabelle Pierre,1,134
Isabelle Pierre,Isabelle Pierre,1,22
Isley Brothers,Isley Brothers,1,26
Israel Kamakawiwo'ole,Israel Kamakawiwo'ole,1,12
Ivan (Singer),Ivan (Singer),1,47
J-Five,J-Five,1,159
J.I.D,J.I.D,1,47
JAY Z,JAY Z,2,41
JJ and DRE,JJ,1,12
Jack Beats,Jack Beats,1,16
Jack Garratt,Jack Garratt,1,38
Jack Johnson,Jack Johnson,3,66
JackLNDN,JackLNDN,1,37
Jacques Brel,Jacques Brel,11,1148
Jacques Cardona,Jacques Cardona,1,31
Jacques Chirac,Jacques Chirac,1,27
Jacques Dutron,Jacques Dutron,3,118
Jaden Chase,Jaden Chase,1,28
Jain,Jain,2,142
James,James,1,59
James Blunt & Lea Paci,James Blunt,1,87
James Blunt,James Blunt,4,76
James Brown vs Led Zeppelin,James Brown,1,57
James Brown,James Brown,1,23
James Brown Spiderman 3,James Brown Spiderman 3,1,49
James Taylor,James Taylor,1,36
Jamie Foxx,Jamie Foxx,1,5
Jamiroquai,Jamiroquai,2,49
Janet Jackson,Janet Jackson,1,55
Janis Joplin,Janis Joplin,1,12
Japanese Breakfast,Japanese Breakfast,1,13
Jason Derulo,Jason Derulo,2,117
Jason Derülo,Jason Derülo,1,17
Jason Mraz,Jason Mraz,1,10
Jawny,Jawny,2,126
Jay Z,Jay Z,1,14
Jay-Z,Jay-Z,1,64
Jay-Z & Linkin Park,Jay-Z,1,21
Jazz Trio Loop,Jazz Trio Loop,1,47
Jean Ferrat,Jean Ferrat,5,289
Jean Jacques Goldman,Jean Jacques Goldman,3,156
Jean Leloup,Jean Leloup,2,117
Jean Schultheis,Jean Schultheis,1,14
Jean Tonique,Jean Tonique,1,33
Jean-Jacques Goldman,Jean-Jacques Goldman,3,87
Jean-Louis Aubert,Jean-Louis Aubert,2,88
Jean-Luc Lahaye,Jean-Luc Lahaye,1,25
Jean-Pierre Mader,Jean-Pierre Mader,1,170
Jefferson Airplane,Jefferson Airplane,2,111
Jen(Artist),Jen(Artist),1,103
Jenifer,Jenifer,1,47
Jennie (from BlackPink),Jennie (from BlackPink),1,36
Jennifer Lopez,Jennifer Lopez,2,53
Jennifer Paige,Jennifer Paige,1,43
Jessie J,Jessie J,1,67
Jet,Jet,1,21
Jewelz and Sparks,Jewelz,1,27
Jill Scott and Jerry Folk,Jill Scott,1,58
Jim Brickman,Jim Brickman,1,30
Jim Carrey,Jim Carrey,1,71
Jim Croce,Jim Croce,1,53
Jim Jamison,Jim Jamison,1,6
Jim Yosef,Jim Yosef,1,86
Jimi Hendrix,Jimi Hendrix,1,11
Jimmy Buffett,Jimmy Buffett,1,40
Jishle,Jishle,1,103
Joan Jett and the Blackhearts,Joan Jett,1,14
Joan Jett & The Blackhearts,Joan Jett & The Blackhearts,1,22
Joe Blow,Joe Blow,1,14
Joe Cocker,Joe Cocker,2,131
Joe Dassin,Joe Dassin,24,3230
Joel Corry x MNEK,Joel Corry,1,43
John Denver & The Muppets,John Denver & The Muppets,1,6
John Frusciante,John Frusciante,3,43
John Grant,John Grant,1,69
John Mayer,John Mayer,3,119
John Newman,John Newman,1,16
John Sebastian,John Sebastian,1,164
John Travolta,John Travolta,1,21
Johnny Cash,Johnny Cash,8,569
Johnny Hallyday,Johnny Hallyday,1,9
Johnny Jane,Johnny Jane,1,70
Johnny Stimson,Johnny Stimson,1,31
Johve,Johve,1,102
Jon Lajoie,Jon Lajoie,1,22
"Jonas Blue, Malive","Jonas Blue, Malive",1,8
Jonas Brothers,Jonas Brothers,3,66
Jordan Clarke,Jordan Clarke,1,61
Jordin Sparks & Chris Brown,Jordin Sparks & Chris Brown,1,45
Jordy Chandra,Jordy Chandra,1,97
Joris Delacroix,Joris Delacroix,1,5
Jose Feliciano,Jose Feliciano,1,30
Josh Fudge,Josh Fudge,1,31
Josh Money,Josh Money,1,40
Josh tobin,Josh tobin,1,7
Josiane,Josiane,1,39
Journey,Journey,6,259
Jovelli,Jovelli,1,31
Joy Crookes,Joy Crookes,1,57
Joyce Jonathan,Joyce Jonathan,1,42
Joywave,Joywave,1,18
JuL,JuL,1,40
Juanes,Juanes,1,33
Julien Clerc,Julien Clerc,1,199
Juliet Fox,Juliet Fox,1,28
Julieta Venegas,Julieta Venegas,1,34
Julio Iglesias,Julio Iglesias,1,55
Jungle,Jungle,1,54
Junior,Junior,1,54
Junior Senior,Junior Senior,1,36
Junior Senior & Agrume,Junior Senior,1,27
Juniore,Juniore,1,69
Junkie XL,Junkie XL,2,66
Junko Ohashi,Junko Ohashi,3,126
Junko Ohashi & Night Tempo,Junko Ohashi,1,14
Junko Yagami,Junko Yagami,1,47
Jupiter,Jupiter,1,90
Justice,Justice,21,1042
Justice & Tame Impala,Justice,1,39
Justin Bieber,Justin Bieber,1,37
Justin Timberlake,Justin Timberlake,4,62
K Camp ft. 2 Chainz,K Camp,1,20
K-Maro,K-Maro,1,30
KAMINI,KAMINI,1,18
KC & The Sunshine Band,KC & The Sunshine Band,6,381
KDD,KDD,1,100
KONGOS,KONGOS,1,29
KRS-One,KRS-One,1,16
KT Tunstall,KT Tunstall,2,71
Kaaris & Kalash Criminel,Kaaris & Kalash Criminel,1,57
Kajagoogoo,Kajagoogoo,1,44
Kali Uchis,Kali Uchis,2,200
Kali Uchis & Benjamin Murano,Kali Uchis,1,48
Kamari Carter,Kamari Carter,1,10
Kamini,Kamini,1,15
Kangoo (Serie TV),Kangoo (Serie TV),1,33
Kansas,Kansas,1,9
Kany West & Lil Pump,Kany West & Lil Pump,1,77
Kanye West,Kanye West,8,283
Kanye West & JAY Z,Kanye West,1,3
Kaolin,Kaolin,1,88
Kaoma,Kaoma,1,79
Kaoru Akimoto & Night Tempo,Kaoru Akimoto & Night Tempo,1,21
Kartell,Kartell,4,105
Kasso,Kasso,1,17
Kat Deluna,Kat Deluna,1,22
Kate Bush,Kate Bush,2,157
Kate Ryan,Kate Ryan,1,26
Katy Perry,Katy Perry,4,85
Kavinsky,Kavinsky,2,103
Kaytranada,Kaytranada,1,42
Ke$ha,Ke$ha,4,88
Keane,Keane,3,60
Keedz,Keedz,1,41
Keen V,Keen V,1,30
Kelis,Kelis,1,4
Kelly Clarkson,Kelly Clarkson,1,31
Kendji Girac,Kendji Girac,1,83
Kendrick Lamar,Kendrick Lamar,5,489
Kenkfraft 400,Kenkfraft 400,1,33
Keren Ann,Keren Ann,1,42
Kero One,Kero One,1,33
Kevin Gates,Kevin Gates,1,22
Kevin Rudolf & Lil Wayne,Kevin Rudolf & Lil Wayne,1,22
Kid Cudi,Kid Cudi,3,87
Kid Francescoli,Kid Francescoli,2,201
Kid Rock,Kid Rock,1,13
Kid Simius,Kid Simius,1,13
Kid Smoko,Kid Smoko,1,51
Kids in America,Kids in America,1,51
Kim Carnes,Kim Carnes,1,10
Kim Petras,Kim Petras,2,67
Kiss,Kiss,1,36
Klangkarussell,Klangkarussell,1,29
Klingande,Klingande,2,82
Knife Party,Knife Party,3,40
Knightlife,Knightlife,1,66
Koba LaD feat Niska,Koba LaD,1,37
Kool & the Gang,Kool & the Gang,5,259
Korn,Korn,2,59
Kosibeats,Kosibeats,1,95
Kraftwerk,Kraftwerk,2,73
Krewella,Krewella,1,64
Kris Allen,Kris Allen,1,11
Kris Kross,Kris Kross,1,9
Krystal Klear,Krystal Klear,2,131
Kungs,Kungs,4,558
Kungs & Throttle,Kungs,1,51
Kygo and Syn Cole,Kygo,1,63
Kygo and Ellie Gooding,Kygo,1,36
Kygo & Selena Gomez,Kygo & Selena Gomez,1,77
Kylie Minogue,Kylie Minogue,5,346
Kyo,Kyo,1,132
L'Algerino,L'Algerino,1,150
L'Impératrice,L'Impératrice,7,629
LEEX & Mattafix,LEEX & Mattafix,1,64
LMFAO,LMFAO,2,24
LMFAO & Lil Jon,LMFAO,1,8
La Bouche,La Bouche,1,15
La Caution,La Caution,1,130
La Compagnie Creole,La Compagnie Creole,2,235
La Femme,La Femme,1,74
La Fouine,La Fouine,1,8
La Plage,La Plage,1,35
La Roux,La Roux,1,11
La Rue Ketanou,La Rue Ketanou,4,143
LaLa Land Cast,LaLa Land Cast,4,491
Labi Siffre,Labi Siffre,1,35
Lady GaGa,Lady GaGa,4,178
Lady Gaga,Lady Gaga,3,187
Lamborghini,Lamborghini,1,46
Lana Del Rey,Lana Del Rey,4,135
Lana Del Rey & Cedric Gervais,Lana Del Rey,1,30
Las Ketchup,Las Ketchup,1,58
Last Dinosaurs,Last Dinosaurs,5,387
Late Night Tuff Guy & Bon Entendeur,Late Night Tuff Guy & Bon Entendeur,1,65
Laufey,Laufey,1,1
Laura Branigan,Laura Branigan,2,63
Laurent Voulzy,Laurent Voulzy,5,133
Laurent Wolf,Laurent Wolf,3,31
Laurie destal,Laurie destal,1,20
Lawrence,Lawrence,1,16
Le Club,Le Club,1,90
Le Maitre & The Knocks,Le Maitre,1,80
Le Maitre,Le Maitre,2,76
Le Maitre and Jerry Folk,Le Maitre,1,33
Le Metropole Orkest,Le Metropole Orkest,2,11
Le Nonsense,Le Nonsense,2,102
Le top des Tout-P'tits,Le top des Tout-P'tits,1,12
LeAnn Rimes,LeAnn Rimes,1,71
Led Zeppelin,Led Zeppelin,3,42
Lee Greenwood,Lee Greenwood,1,11
Lee(artist),Lee(artist),1,42
Lene Marlin,Lene Marlin,1,22
Lenny Kravitz,Lenny Kravitz,2,33
Leon Haywood & Bon Entendeur,Leon Haywood & Bon Entendeur,1,73
Leonard Cohen,Leonard Cohen,1,41
Les Rita Mitsouko,Les Rita Mitsouko,2,61
Les Trois Accords,Les Trois Accords,1,28
Les Ultras-Boys,Les Ultras-Boys,1,18
Lesiem,Lesiem,1,11
Lesley Gore,Lesley Gore,1,20
Less than Jake,Less than Jake,1,56
Lewis Capaldi,Lewis Capaldi,1,121
Lifelike,Lifelike,8,996
Lighthouse Family,Lighthouse Family,2,154
Lil Dicky,Lil Dicky,5,229
Lil Nas X,Lil Nas X,1,45
Lil Tay,Lil Tay,1,25
Lil Wayne & JAY Z,Lil Wayne,1,24
Lil Wayne & Jay-Z,Lil Wayne,1,23
Lil Wayne,Lil Wayne,2,17
Lilly Wood,Lilly Wood,1,43
Lily Allen,Lily Allen,2,52
Limahl,Limahl,1,122
Linda Scott,Linda Scott,1,181
Linkin Park,Linkin Park,9,243
Linkin Park & Progfather,Linkin Park,1,30
Lionel Hampton,Lionel Hampton,1,38
"Lipps, Inc.","Lipps, Inc.",1,20
Liz Callaway,Liz Callaway,1,98
Loane,Loane,1,24
Lola Disco,Lola Disco,2,124
Lola Marsh,Lola Marsh,1,82
Loleatta Holloway,Loleatta Holloway,1,20
Lomtre,Lomtre,2,206
Lorde & Flume,Lorde & Flume,1,13
Lorie,Lorie,3,82
Los Adolescantes,Los Adolescantes,1,30
Los Del Rio,Los Del Rio,1,14
Lost Frequencies  & Janieck Devy,Lost Frequencies  & Janieck Devy,2,300
Lost Frequencies  & Kungs,Lost Frequencies  & Kungs,1,330
Lou Bega,Lou Bega,1,24
Lou Rawls,Lou Rawls,1,80
Lou Reed,Lou Reed,2,196
Louis Armstrong,Louis Armstrong,1,17
Louis La Roche,Louis La Roche,2,31
Louis Prima,Louis Prima,2,69
Louise Attaque,Louise Attaque,2,87
Lovejoy,Lovejoy,1,49
Lowfi Ghostie,Lowfi Ghostie,1,11
Ludacris,Ludacris,3,102
Ludovico Einaudi,Ludovico Einaudi,1,23
LuigiDonatello & Home,LuigiDonatello & Home,1,15
Luis Fonsi ft. Daddy Yankee,Luis Fonsi,1,59
Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,1,91
Luke & Jimmy,Luke & Jimmy,1,54
Lukrembo,Lukrembo,1,41
Luna Blue,Luna Blue,1,59
Lupe Fiasco,Lupe Fiasco,1,41
Luther Vandross,Luther Vandross,1,0
Luxxury,Luxxury,1,41
Lykke Li,Lykke Li,1,48
Léo Ferré,Léo Ferré,1,19
M (Music Artist),M (Music Artist),1,24
M Ward,M Ward,1,16
M(Chanteur),M(Chanteur),1,29
M. Pokora,M. Pokora,1,23
M.A.G.S,M.A.G.S,1,146
M.Pokora,M.Pokora,1,25
M83,M83,2,51
MACROSS 82-99,MACROSS 82-99,3,321
MAGIC,MAGIC,1,44
MC Hammer,MC Hammer,1,6
MEM,MEM,1,29
MGMT,MGMT,4,151
MIKA,MIKA,12,891
MIdnight Runners,MIdnight Runners,1,17
MaM,MaM,2,35
Mabel,Mabel,1,85
Mac Dre feat. Chuck Beez,Mac Dre,1,12
Mac Tyer feat Derek Martin,Mac Tyer,1,11
Mac Tyer feat Kerry James,Mac Tyer,1,7
Macklemore,Macklemore,2,98
Macklemore & Ryan Lewis,Macklemore,2,46
Madcon,Madcon,3,167
Madeon,Madeon,2,102
Madison Avenue,Madison Avenue,1,51
Madness,Madness,1,27
Madonna,Madonna,21,512
"Maes, Ninho","Maes, Ninho",1,180
Magic System,Magic System,3,191
Maitre Gims,Maitre Gims,1,66
Major Lazer & DJ Snake,Major Lazer,1,42
Major Lazer,Major Lazer,1,20
Makano,Makano,1,53
Makoto Matsushita,Makoto Matsushita,1,59
Mamas and the Papas,Mamas,1,45
Mami Ayukawa,Mami Ayukawa,1,39
Manau,Manau,1,46
Manu Chao,Manu Chao,5,243
Marc Anthony,Marc Anthony,1,47
Marc Lavoine,Marc Lavoine,1,40
Marc Lavoine & Florent Pagny,Marc Lavoine,1,21
Mareux,Mareux,1,10
Marie Laforet,Marie Laforet,1,97
Marilyn Manson,Marilyn Manson,2,37
Marina Kaye,Marina Kaye,2,314
Mariya Takeuchi,Mariya Takeuchi,2,141
Mark Morrison,Mark Morrison,1,24
Mark Ronson,Mark Ronson,1,20
Marlena Shaw,Marlena Shaw,1,63
Maroon 5,Maroon 5,12,673
Marshmello & Khalid,Marshmello & Khalid,1,48
Martin Garrix,Martin Garrix,2,47
Martin Garrix & DubVision & Shaun Farrugia,Martin Garrix,1,24
Martin Solveig and GTA,Martin Solveig,1,57
Martin Solveig and feat Kele,Martin Solveig,1,31
Martin Solveig and Dragonette,Martin Solveig,1,10
Marvin Gaye,Marvin Gaye,2,27
Masayoshi Takanaka,Masayoshi Takanaka,1,157
Mase,Mase,1,64
Matchbox Twenty,Matchbox Twenty,3,266
Matt & Kim,Matt & Kim,2,78
Matt Houston,Matt Houston,1,22
Mattafix,Mattafix,1,148
Matthew Wilder,Matthew Wilder,1,227
Mattyeux,Mattyeux,1,317
Maurice Chevalier,Maurice Chevalier,2,70
Max Berlin,Max Berlin,1,66
Max Frost,Max Frost,1,65
Max Manie,Max Manie,1,21
Maxime Le Forestier,Maxime Le Forestier,1,40
Maya,Maya,1,6
Mc Solaar,Mc Solaar,1,25
McFadden & Whitehead,McFadden & Whitehead,1,68
Meiko Nakahara,Meiko Nakahara,4,156
Mel Brooks,Mel Brooks,2,31
Melanie,Melanie,1,18
Melanie Fiona,Melanie Fiona,1,54
Melanie Martinez,Melanie Martinez,1,65
Mell-o,Mell-o,1,99
Memorex Memories,Memorex Memories,2,28
Men Without Hats,Men Without Hats,2,119
Men at Work,Men at Work,2,55
Mere Notilde,Mere Notilde,2,301
Meric Again & 22 Angels,Meric Again & 22 Angels,1,29
Metallica,Metallica,4,43
Metro Boomin and The Weeknd and 21 Savage,Metro Boomin,1,27
Metronomy,Metronomy,2,86
Metronomy & Purple Disco Machine,Metronomy,1,45
Miami Horror,Miami Horror,1,58
Michael Bublé,Michael Bublé,4,256
Michael Franti & Spearhead,Michael Franti & Spearhead,1,58
Michael Gray,Michael Gray,1,40
Michael Jackson,Michael Jackson,11,288
Michael Sembello,Michael Sembello,1,15
Michel Berger,Michel Berger,1,16
Michel Delpech,Michel Delpech,2,168
Michel Legrand,Michel Legrand,1,105
Michel Polnareff,Michel Polnareff,1,115
Michel Sardou,Michel Sardou,2,170
Mickael Miro,Mickael Miro,1,55
Mickey 3D,Mickey 3D,2,84
Mickey Avalon,Mickey Avalon,1,20
Micky Green,Micky Green,1,14
Midnight Juggernauts,Midnight Juggernauts,1,30
Miel De Montagne,Miel De Montagne,1,67
Migos,Migos,1,24
Miguel Bose,Miguel Bose,1,97
Miike Snow,Miike Snow,1,17
Mika,Mika,2,194
Mike Candys and Evelyn,Mike Candys,1,44
Mike Newman,Mike Newman,1,52
Mike Oldfield,Mike Oldfield,1,48
Mike Posner,Mike Posner,2,69
Mike Stud,Mike Stud,1,50
Miki Matsubara,Miki Matsubara,1,187
Miki Matsubara & Night Tempo,Miki Matsubara,1,64
Miley Cyrus,Miley Cyrus,1,42
Milky Chance,Milky Chance,1,17
Minako Yoshida,Minako Yoshida,1,13
Ming Tea,Ming Tea,1,14
Minnie Riperton,Minnie Riperton,1,25
Miossec,Miossec,1,50
Miranda Cosgrove,Miranda Cosgrove,1,36
Miranda Cosgrove featuring Drake Bell,Miranda Cosgrove featuring Drake Bell,1,11
Mireille Mathieu,Mireille Mathieu,1,144
Mirwais,Mirwais,1,78
Mister Gavin,Mister Gavin,1,63
Mitiko & Bon Entendeur,Mitiko & Bon Entendeur,1,151
Moby,Moby,3,203
Modek,Modek,1,46
Modern Talking,Modern Talking,7,615
Modjo,Modjo,2,107
Molchat Doma,Molchat Doma,1,83
Molecule,Molecule,1,20
Mommy x Philanthrope,Mommy,1,97
Momoko Kikuchi,Momoko Kikuchi,1,17
Monamie,Monamie,1,39
Mondotek,Mondotek,1,42
Moodyman,Moodyman,2,70
Moondough,Moondough,1,196
Moonlight,Moonlight,1,47
Mos Def,Mos Def,2,97
Moullinex,Moullinex,1,39
Moussier Tombola,Moussier Tombola,1,8
Mozart,Mozart,4,46
Mr Flash,Mr Flash,1,23
Mr Oizo,Mr Oizo,1,26
Mr Oizo Ft Thomas Bangalter (Daft Punk),Mr Oizo,1,15
Mr President,Mr President,1,92
Mr Probz,Mr Probz,1,58
Mr. C,Mr. C,1,28
Mr. Oizo,Mr. Oizo,3,100
Mr. Oizo & Marylin Manson,Mr. Oizo,1,73
Mr.Vtage,Mr.Vtage,1,164
Mumford & Sons,Mumford & Sons,1,60
Mungo Jerry,Mungo Jerry,1,26
Muriel Dacq,Muriel Dacq,1,37
Muse,Muse,4,83
My Chemical Romance,My Chemical Romance,1,14
Mylene Farmer,Mylene Farmer,2,106
Myles Smith,Myles Smith,2,81
Mylo Vs Miami Sound Machine,Mylo,1,32
Mystery Skulls,Mystery Skulls,1,57
"Myth Syzer (Ft. Bonnie Banane, Ichon & Muddy Monk)","Myth Syzer (Ft. Bonnie Banane, Ichon & Muddy Monk)",1,77
NFC & Bon Entendeur,NFC & Bon Entendeur,1,129
Naaz,Naaz,1,33
Naked Eyes,Naked Eyes,1,11
Nancy Sinatra,Nancy Sinatra,2,22
Nanidato,Nanidato,1,90
Napkey & Bon Entendeur,Napkey & Bon Entendeur,1,38
Naps ft. SCH,Naps,1,69
Nassau,Nassau,1,26
Natalie Cardone,Natalie Cardone,1,32
Natalie Imbruglia,Natalie Imbruglia,1,39
Natasha Bedingfield,Natasha Bedingfield,1,11
Nathan Lane & Matthew Broderick,Nathan Lane & Matthew Broderick,1,13
Naturi Naughton,Naturi Naughton,1,57
Naxxos,Naxxos,1,15
Nayla & Bon Entendeur,Nayla & Bon Entendeur,1,86
Naïka,Naïka,1,103
Neil Diamond,Neil Diamond,1,53
Neil Young,Neil Young,2,138
Nelly,Nelly,1,56
Nelly Furtado,Nelly Furtado,6,93
Nelward,Nelward,1,33
Nena,Nena,1,25
Neon Trees,Neon Trees,1,33
Neosignal,Neosignal,1,39
Never Dull,Never Dull,1,117
Niagara,Niagara,1,81
Niall Horan & Anne-Marie,Niall Horan & Anne-Marie,1,82
Nice Peter,Nice Peter,5,46
